텃밭아이디,운영주체,텃밭명,시도코드,시도명,시군구코드,시군구명,주소,실제전체면적,실제분양면적,홈페이지,모집기간,부대시설,신청방법,분양가격,위도좌표,경도좌표,등록일자,수정일자
"12","지자체/민간","둔촌텃밭농원","1","서울특별시","2","강동구","강동구 둔촌동 125-1","4800","16"," ","전화","주차장, 식수대, 화장실"," ","100,000","37.5247587986878","127.144515432202","20170113",20170113
"13","지자체/민간","토끼굴텃밭농원","1","서울특별시","2","강동구","강동구 암사동 603-5","10000","12"," "," ","주차장, 식수대, 화장실","전화","100,000","37.5543617323514","127.126014767348","20170113",20170113
"14","지자체/민간","동양사주말농장","1","서울특별시","2","강동구","강동구 상일동469-3","1600","12"," "," "," "," ","100,000","37.5454432417354","127.163212466291","20170113",20170113
"15","지자체/민간","암사동농장","1","서울특별시","2","강동구","강동구 암사동207-4","2937","13.2"," "," "," "," ","100,000","37.5568494747169","127.132688572703","20170113",20170113
"16","지자체/민간","암사주말농장","1","서울특별시","2","강동구","강동구 암사동 338","3000","23.1"," "," ","주차장, 식수대, 화장실","전화","100,000","37.5590762657235","127.14108739425","20170113",20170113
"17","지자체/민간","고덕주말농장","1","서울특별시","2","강동구","강동구 고덕동 334","7459","16"," "," ","주차장, 식수대, 화장실","전화","100,000","37.5640988828457","127.161282789787","20170113",20170113
"18","지자체/민간","암사가족농원","1","서울특별시","2","강동구","강동구 암사동 380-9","9078","15"," "," ","주차장, 식수대, 화장실","전화","100,000","37.5578565060112","127.138491686016","20170113",20170113
"19","지자체/민간","고덕주말농장2","1","서울특별시","2","강동구","강동구 고덕1동 479","3154","15"," "," ","주차장, 식수대, 화장실","전화","100,000","37.5635015477498","127.155503782685","20170113",20170113
"20","지자체/민간","과해주말농장","1","서울특별시","4","강서구","강서구 오곡동 518-2","8192","13"," "," ","쉼터, 주차장, 세면장, 화장실 등","유선신청 등","70,000","37.5560538332759","126.778064306372","20170113",20170113
"23","지자체/개인","수서주말농장","1","서울특별시","1","강남구","서울특별시 강남구 수서동 368-1","3762","20"," ","8개월"," "," ","115,000","37.4899721846","127.0926622821","20170124",20170124
"24","지자체/민간","신정텃밭농장","1","서울특별시","19","양천구","양천구 신월7동 728-10","29518","16.5"," "," ","주차장, 식수대, 화장실"," ","100,000","37.5100840454551","126.826025005465","20170113",20170113
"26","지자체/민간","삼각산주말농장","1","서울특별시","3","강북구","강북구 강북구 4.19로 12길 76","15173","16.5"," "," ","주차장, 식수대, 화장실","전화","180,000","37.64581946675768","127.00346729624992","20170113",20170113
"27","지자체/민간","삼각산주말농장2","1","서울특별시","3","강북구","강북구 우이동 73-134","4334","24"," "," ","주차장, 식수대, 화장실","전화","180,000","37.6513538673007","127.010830215532","20170113",20170113
"28","지자체/민간","천수텃밭농원","1","서울특별시","9","노원구","노원구 중계본동 산114","6362","14"," "," ","주차장, 식수대, 화장실","전화","130,000","37.6471179825814","127.086085848675","20170113",20170113
